Name,Race,Backstory Modifier,Buckets,Review,Generatable,Description,Special Gear Sets,Basic Gearset Chance,Hair Style,Hair Color,Beard,Goatee,Moustache,Facial Hair Probability,Facial Hair Color,Hair Color Match Prob,Primary FN,Secondary FN,FN Ratio,Primary LN,Secondary LN,LN Ratio,Symmetrical Name Chance,Tattoo Probability,Tattoo Density,Tattoo Symmetry,Icon
Naras,HighSpritopian,"He is a {high ranking,,,,,,former} member of the Nara family. The Nara family is a prestigious, divine, family of Hawaiians",2K Royals,checked,checked,"The Nara Family is a faction of Hawaiian peace deities who serve to enlighten and bring joy those around them. Their creed is peace and their passion: serenity.  Notably, every Nara has a ponytail -- which points down to the Earth, signifying the importance of life and nature. ",,100%,Straight Tail,"Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Light Blonde,Very Light Blonde,Gray,White,Red,Green,Blue,Yellow,Orange,Medium Blonde",None,"Goatee 13,Goatee 14,Goatee 8,Goatee 10",None,25%,"Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Light Blonde,Very Light Blonde,Gray,White,Red,Green,Blue,Yellow,Orange,Medium Blonde",95%,Nara First,,100%,Nara Only,,100%,0%,33%,Light,checked,Naras.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/7RFgiC47ulwUcmvQ1E_FIg/awM-L0yhAVvMcOBFafD585dr9Z5wXViQxhzT6m8GyNPJZ7LZtzwXYa_-xh2_32oaDwxqfRxkdbvkw4MqErq3qLg7JsUC8CQ6ACRshqdJJMxefLI28UCDOtMUcGwqUHIIH_isuH9RAr0oxKkAdR65qg/RRttwAseY314B5tWQdcJX30d_jogzvpwG-C-ZZts_iI)
Nocturnals,Nubian,"He is a {high ranking,,,,,,former} member of the Nocturnal family. The Nocturnal family is a world class basketball icon family.",2K Royals,checked,checked,"The Nocturnals are a faction of legendarily skilled, Nubian basketball players. Balling up is their religion, and those members that fail to live up to the gold standard set by the Nocturnal Trinity (Jimmy, Timmy, Jaquay) are heathens. Notably, Nocturnals often have blue hair and yellow facial hair. ",,100%,"Afro,Thick Cornrows,Thin Cornrows,Short Dreads,Tied Dreads,Medium Dreads,Dreads Tail",Blue,"Beard Style 1,Beard Style 2,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 8","Goatee 3,Goatee 6,Goatee 1,Goatee 4,Goatee 5,Goatee 14","Moustache 4,Moustache 6,Moustache 3,Moustache 5",100%,Green,0%,African-American First,Random Noun First,90%,Nocturnal Only,,100%,0%,75%,Medium,,Nocturnals.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/1RKkusFmz42_f_XFPhuHHA/GMcOq9JX2sDx17T-QXqfQgm0MtPcLDHbp-rV7xo_ADPZzJ_-xifzKAhWrUDTeuwWoW2of5BFiSKTjGzo-GDfYOJLa00D0YiObUrk1y154xwkgvwf2Plp2LNMNHy0TULpoeX43j6xslWm9BHJe0y8xg/RXOmKNkcBzmpA-60rqoIhIasHXDgJOtH3EzEVrgHpdc)
Pickles,HighSpritopian,"He is a {high ranking,,,,,,former} member of the Pickles family. The Pickles family is a green haired, slightly quirky family.",2K Royals,checked,checked,"The Pickles Family is a faction of green-haired, bizarre individuals who all have first names that start with a ""W"". A powerful noble family of High Spritopians, headed by the hegemon Walnut Waffle Pickles, the Pickles aren't exactly fit to wield the power they have in any meaningful way. Often in a vegetative state, it is rare to find a member of the Pickles family competent enough to formulate a intelligent thought. ",,100%,"No Hair,Short Stubble,Medium Stubble,Dark Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Natural Fauxhawk,Natural Balding,Thick Cornrows,Thin Cornrows,Afro,Messy,Twisties,Short Dreads,Medium Dreads,Tied Dreads,Dreads Tail,Mop,Mop Tail,Straight Short,Straight Long,Straight Flat,Straight Part,Straight Tail,Straight Balding,Spikey,Curly,Balding Flat,Short Flat,Medium Flat,Wavy,Shaggy,Mohawk,The Patch",Green,"None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",50%,Green,100%,W Name First,,100%,Pickles Only,,100%,0%,10%,Light,,Pickles.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/rRehYsL3wRaG2M6U37FHIA/4elSgDjExc9SLn7eQFceEJ5b7k_3SkPBiWQRfHnxw5g0xWLDcchkJz2h2UpUD7GEKYrRMsq_P9PzZwDWB9Jtr3G3r3ykQRVFroQbh3ADRP9Q19Zd3tTiq9XMzfzyBGVYmJND-JIKbaM1NRQBnOK6VQ/EA-viWo_Xc1U9SUtvlFDJuKePXkf2XFVe3jykrLFiLo)
Sanchevastes,Atacaman,"He is a {high ranking,,,,,,former} member of the Sanchevaste family. The Sanchevaste family is a latino family of tough guys.
",2K Royals,checked,checked,"The Sanchevastes are a faction of Latino tough guys who are often misunderstood for being douchebags. In reality, most Sanchevaste's are friendly, gracious, and well-adjusted members of society who like to cling on to their macho-gangster personas. They adorn many tattoos and are almost always maintaining some form of cool ass moustache. ",,100%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy",Black,"Beard Style 4,Beard Style 5,Beard Style 7","Goatee 1,Goatee 6","Moustache 1,Moustache 2,Moustache 3,Moustache 6,Moustache 4,Moustache 7,Moustache 5",100%,Black,100%,Hispanic First,Random Noun First,90%,Sanchevaste Only,,100%,0%,90%,Heavy,,Sanchevastes.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/7y40MgEHGA3LH-3gACo3-A/X5XOD0pjcCeUu1lefn-mReQIyjQdz9iNv_Mj8BSGFcb71kNaozPJeIG6NEPYrF3A0zNU79iCrv88qik_rc-8xDQEMAhp45qe3lT2fLfGSdJgH5Ji4iI99uR7AvlRjqBE9NElPMISfTBHolVXjuQkFw/5zikCYNn0PLU3hkTPwVPXeuLmPx3VZu-WGFTunvYqlU)
Sandwich Artists,"HighSpritopian,Atacaman,Bhutanese,Nubian",,Work,checked,checked,"Few experiences can compare to the genuinely intoxicating encounter of meeting a sandwich artist. This is a person who has been trained in the fine arts of hinge cuts and sauce distribution, a person who falls asleep counting slices of Salami on the BMT, a person who sees customers not as customers, but as obligations to their fine craft. Led ferociously, and often quite confusedly by a Subway manager and asked by customers for things like ""a Ham sandwich with no Ham"" or ""all sauces, but only the chipotle mayo"" or ""extra rutabaga please"", the Sandwich Artist knows how to draw meaning from a truly meaningless situation. Those who have the pleasure of interacting with an Artist know that their wishes, and their appetites, are in fine (and freshly gloved) hands.",Subway,0%,"No Hair,Short Stubble,Medium Stubble,Dark Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Natural Fauxhawk,Natural Balding,Straight Short,Straight Flat,Straight Balding,Balding Flat,Short Flat,The Patch","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde,Blue","None,Beard Style 7,Beard Style 8,Beard Style 11,Beard Style 12,Beard Style 10,Beard Style 6",None,"None,Moustache 1,Moustache 2,Moustache 3,Moustache 7",20%,"Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde",95%,American First,,100%,American Last,,100%,0%,10%,Light,,Sandwich Artists.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/Og33cmgVASzYv6HBg0nmBA/r85OTxgw-NB3iRhOhft0l6RFlrEGAXT3OSgAMadJfbunoibPTZ7tMVtIYpc3nkeXxweiweghRO1ykRVf5QCah54ycph3BmqSpMv5Id1QZoSjWOhONgI47TH1G-U25J9su5suVxnvgPUH1xq7TJoJcw/XVsLP_xtRtjTWfuPcIxvVxGsOj2dT8-XAGfUsLzwydQ)
Subway Customers,"HighSpritopian,Atacaman,Bhutanese,Patel,Nubian","He is a {scumbag,raging,snotty,entitled,mentally deranged,horrid,kind,forgiving,bizarre,cringeworthy,creepy,,,,,,,,,} customer at a Subway restaurant.",Work,checked,checked,"Subway Customers are a faction of self-entitled douchebags who have nothing better to do in life than to belittle and berate minimum wage earning teenagers. Whether it's demanding a worker to put on more cucumbers, or ordering 8 footlongs at 9:15pm on a Tuesday, Subway Customers really bring a new meaning to the word ""insufferable."" Occasionally you'll find a good apple, but most in this faction should be locked away in the ice machine for eternity or two. ","Basic Shirt,Basic Longsleeve",33%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy,Thick Cornrows,Thin Cornrows,Afro,Short Dreads,Medium Dreads,Tied Dreads,Dreads Tail,Mop Tail","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",40%,Black,95%,American First,Random Noun First,900%,American Last,Random Noun Last,80%,0%,20%,Medium,,Subway Customers.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/vtzPEISg7pIFHxO5UlY9gA/Ch1HR6vuegSCJuDWSyzF4Xvx0jSW--K23nPuzAhVy5u9kYdhKNaDgpIn9WJwyNhC_INLkiouz4iTWK1XyyzdSdzPFcPlsjxVcz1ZeXC9vU2mxdAK-WlFuPdjrTuSxGDfeipfnM-MFhsubeuHxogKQg/nBdjbBom-qaSs8PymdG4lhakuQzNpkcszqNGNAoi--0)
Subway Managers,Patel,"He is a {sleazy,scummy,crappy,wholly disorganized,penny pinching,confused,,,,,} manager of a Subway restaurant. ",Work,checked,checked,"Subway Managers are a faction of Patellian humans who are erratic and consumed by the goal of making their Patellian overlord as much money as possible. They often bend unrighteously to the will of power-tripping Subway customers, and punish their employees for bizarre and confusing reasons. Subway Managers are easily confused and have incredibly poor communication skills. ",Subway,0%,"No Hair,Short Stubble,Medium Stubble,Dark Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Natural Fauxhawk,Natural Balding,Straight Short,Straight Flat,Straight Balding,Balding Flat,Short Flat,The Patch","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde","None,Beard Style 7,Beard Style 8,Beard Style 11,Beard Style 12,Beard Style 10,Beard Style 6","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 9,Goatee 8,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 7",33%,"Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde",95%,Indian First,,100%,Indian Last,,100%,0%,5%,Light,,Subway Managers.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/Mj9gg3QkvOHe10y1iiK2HQ/2O1xYe_U9iscHAUgc33CDvUQhAZcqFTMwH_h45gjek4XFLYCjFnT6Bs8W_zLdvY4j4MM7hnhCtUTWHsRkU2_rvKcWfLrfyh-EoccTHARfx5-nCZIq0Ba9B36LSfcNursTS9UhJ0K4ut9aYvmqnYb0g/LmHmBdg-9rz_LJWLzz-_JqF-j7Uf15pYywuDgbRrNBo)
Sysco Employees,"HighSpritopian,Atacaman,Nubian,Patel,Bhutanese","He is a {delivery driver, district sales manager, sales consultant, BTSS Operative, vice president} of Sysco Foods, living a {simple,confused,stressed,happy,,,} life.",Work,checked,checked,"Sysco Employees are a faction of simple minded humans who have an issue that you are employed to solve. They are constantly baffled by ""technology"" and are persistent in educating you on their lack of knowledge in this area. Some are quick to anger, while others quite honestly just want you to slow down a little! They often have difficulties in catching your name, so make sure you speak loud and clear. All in all, Sysco users just want you to fix their VPN (phone?), so why don't you get to it. ",,100%,"Short Stubble,Medium Stubble,Dark Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Natural Fauxhawk,Natural Balding,Afro,Messy,Twisties,Mop,Straight Short,Straight Long,Spikey,Short Flat,Straight Balding,Wavy,Mohawk,The Patch,Shaggy,Medium Flat,Balding Flat,Curly,Straight Part,Straight Flat,No Hair","Dark Brown,Black,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",50%,"Black,Dark Brown,Medium Brown",95%,"American First,Canadian First",Random Noun First,90%,"Canadian Last,American Last",Random Noun Last,90%,0%,10%,Light,,Sysco Employees.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/dVNsidelVZFk9OqYH88VfA/vZoQ4jSq1vUfFkNczdkJykYsKBFNyrHafaOHTGnY5KhDCi3WqUD3QiiZEhRd-FPqW810-ilvPsgUlW9MabpitAoRdzLBn340BGZ23KaL7K5d3l4YB7gZE7giTGrb_NKwSx72Kp-OwKOE5Y0eYRN6Og/hZSFrDD9NemFHKnbG2E0C3dq3qAKFstCtN70Yn3XD-k)
Targothiites,Galactic,,Custom,checked,checked,"Targothiiates are residents of the world known as Targoth, a world where morality is a solved game. Every single citizen embodies the phrase ""you get what you get"", their lives shallow enough to make the odd puddle look like an ocean of water. If a bad guy does a bad thing, he's a bad guy...end of story. And any question to the truthfulness of that will be put to rest as their life will be inevitably terminated by Christian Shearcliff and his magic sword of judgement. ",,100%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy,Thick Cornrows,Thin Cornrows,Afro,Short Dreads,Medium Dreads,Tied Dreads,Dreads Tail,Mop Tail","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde,Gray,White,Red,Green,Blue,Yellow,Orange","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",75%,Black,75%,English First,Random Noun First,90%,Targothiite Last,"Bleakstar Only,Shearcliff Only,Morgson Only,Draclige Only,Cogwell Only,Sorros Only",80%,0%,60%,Medium,,Targothiite.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/Jb21iBQ2uTYrvjsjDfojCA/KnHY0e74d5BdgAZj1WoC5MT-UuEMQf5KH_lYVt132t1yLlNFcmabVtuYTVMYrulcrqZeYLCWes0LqQbTiR1rdaV9QzxI4am8RMKn_wFlJDjtxozc9wT0FVW5lEXk6CoLvyR07yX6fsI8tt5S5PH-2g/w1_dXjRH4qrw2WvqnLIuvtO2K-7PUNKjEy2zpXsws84)
Verizon Representatives,Patel,"He is a {patient,friendly,dedicated,meticulous,calm,deceptive,sly,cunning,manipulative,apathetic,ruthless,helpful,trustworthy,proactive,proficient,frustrated,jaded,disinterested,aggressive,abrasive,relentless,responsive,caring,understanding,cryptic,distant,dismissive,greedy,observant,empathetic} Verizon Representative, {with a voice recognized and loved by regular callers,known for resolving issues in record time,who frequently gets praise from satisfied customers,with unparalleled knowledge of all Verizon products and services,who has trained hundreds of new recruits,who takes pride in exceeding customer service targets,with a personal vendetta against rival telecom companies,known to upsell products with unmatched skill,who secretly dreams of a different career,who once spent 12 hours on a call to ensure a customer's problem was resolved,who often gives extra tips and tricks to callers for better device performance,who is rumored to have a side business scamming customers,with an uncanny ability to detect when callers are lying,who sometimes misleads customers for personal amusement,who has been warned multiple times for bending the rules,known for his quick wit and ability to handle irate customers,with ties to underground telecom cartels,who often wonders about the personal stories of the callers he speaks to,known to have saved a life by talking someone down over the phone,who secretly records and blackmails customers with their personal information,who always follows protocol to the letter,with a love for Bollywood music which he sometimes plays for callers on hold,who is frequently invited to company events for his exceptional performance,who has a history of manipulating customer data,who spends his free hours mentoring younger representatives,with a notorious reputation for hanging up on challenging callers}.",Work,checked,checked,"An adept juggler of customer complaints, the Verizon Support Representative is the unsung, under-caffeinated hero of the corporate digital age. With a headset literally glued to their ear, they've perfected the art of sounding sympathetic while simultaneously playing solitaire, their every sigh a symphony of suppressed yawns. Navigating the treacherous seas of confusing breaks in phone service, they're as tenacious as a Sherlock Holmes on a lunch break and as patient as a saint who's seriously considering early retirement. In the grand theatre of customer service, they are the puppet master, the wizard behind the curtain, orchestrating the dance of ""did you try turning it off and on again?"" with an ennui-laden smile.",,100%,"Short Stubble,Medium Stubble,Dark Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Natural Fauxhawk,Natural Balding,Straight Short,Spikey,Short Flat,Straight Balding,Balding Flat,Curly,Straight Part,Straight Flat,No Hair","Black,Dark Brown,Medium Brown","None,Beard Style 7,Beard Style 8,Beard Style 11,Beard Style 12,Beard Style 13",,"Moustache 1,Moustache 3,Moustache 2,Moustache 4",50%,"Black,Dark Brown,Medium Brown",95%,Indian First,American First,65%,Indian Last,American Last,15%,99%,5%,Light,,Verizon Representatives.png (https://v5.airtableusercontent.com/v3/u/25/25/1707724800000/KyuvFzySCWs2eJIpY7Mo-w/WvFAMHkjayfdWpp7p-y61oupjtjnnG90z9AMJN5CAG9qYOBtgC4I7OG6spusxOFjzKWMHLTsrUhIFabeRacVjiYPXIjpZBcfxWMhYI1kZEUW86FzQvmRz9qoAP31xlK-Is-S0EpH1fm5sdkt132nbx_KU8b7IbmICoFTy0xQick/js5olvLxd_lIbNP8y9W6hcwhj2L8eJI3eZMQwiHaO7k)
