Name,ID,Picture,Factions
None,0,None.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/co_KpzYBw0EjdGi1D6P-Ng/uI3UIplxtkt90zYrhAOT1mby3_eqhYrdl01Lne0jcgzHqetoes3cN6jWlmH9fPw9yd6kZuafm6-yaV0T4RrYAw/mZDsIHqpaFMYg58IQWOrKngRVfR0ipiu9l1RqOGdNeo),"Jalapeno Bots,Pickles,Naras,The Fatherhood,Others,Saul Goodman's Clientele,Sandwich Artists,Verizon Representative,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,ICOMM Employees,Yesters,Jedi,Rebel Alliance,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Beard Style 1,1,1.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/CJerovIWNcE2YPJxp974Mw/hlgZCcDAyZxMT7I-z4bHSjw9weSdfwHs2ppPUPKYJFcjHsQsNsiIpJ9eV6NVl78hFYNxB24bRTa00oPhYnBJnA/b27EqzSbsN_ugVF-shUGZkNw5rF0q6Pi79xC4ZhGUwE),"Nocturnals,Pickles,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Customers,Yesters,House Stark,House Greyjoy,House Frey,House Baratheon,House Mormont,Jedi,Rebel Alliance,Targothiites,Osmans,Twitch Chatters,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,Incels,Communists,Druids,Warlocks,Thieves Guild,Greybeards,Vought Supes,Demon Hunters,Lichs,Mages,Necromancers,Paladins,Dothraki,White Walkers,Wildlings"
Beard Style 2,2,2.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/HdxsXP7fbqTZAD-d53QLsA/VoB0nuzRQ1r13wqoYfpviJEXSScBN9bsCi-uR4ucK_BwWKa0hPlOdZhbboNrKWbh2hp7ISr-FaZDeD176oPIKA/Dq_qIevFJDx-e6sHtuFk3_nqIHKXMyAeInZVk9cNNUQ),"Nocturnals,Pickles,Others,Saul Goodman's Clientele,AT&T Representatives,zAll,Sysco Employees,Subway Customers,Yesters,House Stark,House Greyjoy,House Frey,House Baratheon,House Mormont,Jedi,Rebel Alliance,Targothiites,Osmans,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,MAGAs,Communists,Druids,Warlocks,Thieves Guild,Greybeards,Stormcloaks,Vought Supes,Demon Hunters,Lichs,Mages,Necromancers,Paladins,Dothraki,White Walkers,Wildlings"
Beard Style 3,3,3.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/DFc3LLf6WIrl6H8zhRLA3g/TRA2Iixvk8huSLJuD9iZ-0TFluXOC_H7yojjUguTw3qwhQuW7rDFDBWJ0vzJs9EbXcuyWPJ2uVHCBstmf3J8bA/WzAvcQtrXKIbKLNK16iefW6KximMHwHb2SYAEWUGXvo),"Pickles,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Customers,Yesters,House Stark,House Baratheon,House Mormont,Jedi,Rebel Alliance,Targothiites,Hogwarts Professors,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,MAGAs,Communists,Druids,Warlocks,Thieves Guild,Vought Supes,Demon Hunters,Lichs,Mages,Necromancers,Paladins,Dothraki"
Beard Style 4,4,4.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/Kv2nGDUlgM6Lg42wlzAjeQ/56D4bt2L0D1lJVfD9dR2H7mbhhrXHsh69VIKam14WLI0Po2pUqP6PUugW8wND9oeRwdQtARhjX2ZEOkypdwCqQ/8L75KJ_rAzNL_mPsSLIG8fXquU-OmqOMd4LbiWmBKZ4),"Pickles,Sanchevastes,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Customers,Yesters,Jedi,Rebel Alliance,Targothiites,Hogwarts Professors,Bolivian Mobsters,Salamancas,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Beard Style 5,5,5.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/yU40ZODkU2ebHUg7dQ1Ajg/h04vYQLG6aBB2F-E_qV3uxQPNYssnu6M2p4ydMocdsyn2Z2uPrCAsESpvoNarG9GAJB0kQYpKiSEzp4cmXIw6Q/Q0KLegejazLg_9xjosCvJCBIEXCNfmjl5o-shOXd47E),"Pickles,Sanchevastes,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Customers,Yesters,Jedi,Rebel Alliance,Targothiites,Bolivian Mobsters,Salamancas,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Beard Style 6,6,6.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/MGp3BVor3IoYujUSsYIrcw/aqpWZ38XM0PqItQltIMnDOzjDM6-NYjpWy5VhZUlcnQHhv2Oj_HcNi41cauCUMS2wVbh4xFux5sSyMY22MJ4Eg/DZ1fJBWBFxiVroouj9HqsQoncrZ8e-yu3LyA6vp5YBo),"Pickles,Others,Peaky Blinders,Saul Goodman's Clientele,Time Lords,Sandwich Artists,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,ICOMM Employees,Yesters,House Frey,Jedi,Rebel Alliance,Targothiites,Hogwarts Professors,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Beard Style 7,7,7.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/-1PTBFDPGdGMq8v_8tgVZg/vPAmgMH6W07LjxSxJETAmZJtppV3sswdRYMmhv6AHFYWm8PORBzx_MxoGhVddmCl2We3rMEI928yM3Ctd0Us9g/uBI1qVE2zJhU-Q-t09Y-vqsdkPg4puhRwsu0g8VoNfE),"Pickles,Sanchevastes,Others,Saul Goodman's Clientele,House Lannister,Sandwich Artists,Verizon Representative,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,ICOMM Employees,Yesters,House Bolton,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Targothiites,Bolivian Mobsters,Salamancas,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Imperials,Mages,Necromancers,Dothraki"
Beard Style 8,8,8.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/WN1qhKTGdz37xZfZrnfv2A/45xTPHJpH0Dorj3T3BY3U7RDhpFY3wFOMg23vZACtITtR38YQB2dEtrBlkMZrcJDe4W3YP0eSN0f3hKvY4rHKA/9Ka1zvHS2xKE5ihXSv0k67ePKEu3OCwkxPn20FZrpm8),"Nocturnals,Pickles,Others,Saul Goodman's Clientele,Sandwich Artists,Verizon Representative,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,ICOMM Employees,Yesters,House Stark,House Greyjoy,House Baratheon,House Mormont,Jedi,Rebel Alliance,Waystar Royco,Targothiites,American Illegals,Salamancas,E-Corp Executives,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Cryptobros,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Paladins,Dothraki,White Walkers,Wildlings"
Beard Style 9,9,9.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/JOO-Wh2fe4Ptxu_656bWuA/CvvK5u_DImrlwJXKKNPvKJ0HDnNB7GKByNfrhn-8uODEv0HafhR6ODl4Ch835T1p3cp0AIFfa1kNIqtF-vGAZg/e3fEBO4q-NMl2g5GgV3BzTQAipBxZkbs6fUXHuC9gE0),"Nocturnals,Pickles,Sludgeservants,Others,Saul Goodman's Clientele,House Lannister,AT&T Representatives,zAll,Sysco Employees,Subway Customers,Yesters,House Stark,House Greyjoy,House Bolton,House Baratheon,House Mormont,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Waystar Royco,Targothiites,Osmans,American Illegals,E-Corp Executives,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,MAGAs,Cryptobros,Communists,Thieves Guild,Greybeards,Stormcloaks,Vought Supes,Demon Hunters,Imperials,Mages,Necromancers,Paladins,Dothraki,White Walkers,Wildlings"
