Name,ID,Factions
Black,0,"Naras,Jalapeno Bots,Sanchevastes,The Fatherhood,Others,Peaky Blinders,Saul Goodman's Clientele,Time Lords,House Lannister,Sandwich Artists,Verizon Representative,AT&T Representatives,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,ICOMM Employees,House Stark,House Martell,House Greyjoy,House Frey,House Bolton,House Baratheon,House Mormont,Sith,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Dark Army,Waystar Royco,Targothiites,Hogwarts Professors,Death Eaters,Osmans,Habsburgs,Twitch Chatters,American Illegals,Bolivian Mobsters,Salamancas,E-Corp Executives,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,MAGAs,Incels,Cryptobros,Communists,Vampires,Thalmor,Thieves Guild,Stormcloaks,Vought Supes,Imperials,Necromancers,Paladins,Dark Brotherhood,Dothraki,Wildlings"
Dark Brown,1,"Naras,Others,Sandwich Artists,Verizon Representative,Sysco Employees,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Medium Brown,2,"Naras,Others,Sandwich Artists,Verizon Representative,Sysco Employees,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Light Brown,3,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Very Light Brown,4,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Dark Blonde,5,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Medium Blonde,6,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Light Blonde,7,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Very Light Blonde,8,"Naras,Others,Sandwich Artists,Subway Managers,SLB Employees,ICOMM Employees,House Targaryen,DEA,Capitalists,Gerhardts,Guilty Remnant,Los Pollos Hermanos Employees,Thieves Guild"
Gray,9,Naras
White,10,"Naras,Sludgeservants,The Fatherhood,Greybeards,Mages"
Red,11,"Naras,Sludgeservants,Warlocks,Demon Hunters"
Green,12,"Naras,Nocturnals,Pickles,Sludgeservants,Druids,Demon Hunters"
Blue,13,"Naras,Sludgeservants,Warlocks,Demon Hunters,Lichs,White Walkers"
Yellow,14,"Naras,Sludgeservants,Yesters"
Orange,15,"Naras,Sludgeservants"
