Name,Race,Backstory Modifier,Buckets,Review,Generatable,Description,Special Gear Sets,Basic Gearset Chance,Hair Style,Hair Color,Beard,Goatee,Moustache,Facial Hair Probability,Facial Hair Color,Hair Color Match Prob,Primary FN,Secondary FN,FN Ratio,Primary LN,Secondary LN,LN Ratio,Symmetrical Name Chance,Tattoo Probability,Tattoo Density,Tattoo Symmetry,Icon
AARP,"HighSpritopian,Nubian,Atacaman,Bhutanese,Galactic,Patel","He is a {compassionate,wise,experienced,crafty,patient,calculating,perceptive,stubborn,cunning,resourceful,traditional,innovative,protective,vengeful,deceptive,manipulative,shrewd,tenacious,retired,grizzled,veteran,disillusioned,idealistic,scheming,principled,unscrupulous,mysterious,authoritative,philanthropic,conservative} member of the AARP,{known for his extensive network within the senior community,with decades of experience in various industries,who once led a significant social movement for seniors' rights,with a vast collection of antiques and artifacts that hold mysterious powers,who can outwit any con artist targeting the elderly,known for his persuasive speeches that rally support for senior causes,who harbors a grudge against the new generation's disregard for tradition,who has a secret past involving covert operations,whose wisdom has resolved conflicts within communities,with a hidden agenda to manipulate market trends to benefit his cohort,who has orchestrated complex schemes for personal gain,known for his charitable work that masks more nefarious activities,who is a former corporate mogul with a controversial reputation,who has faced ageism and turned it into a rallying cry for action,with a talent for negotiating unbeatable deals for senior benefits,who has a reputation for bending the rules to protect his interests,known for his mastery in the art of political maneuvering,who has a knack for uncovering the truth behind deceptive schemes,with a close circle of influential friends in high places,who is an expert at playing the stock market to fund retirement projects,who was once wronged by a trusted partner and seeks retribution,who often leverages his age to gain sympathy and advantages,known for his survival skills in the cutthroat world of business,with a deep-seated disdain for modern technology,who has a surprising alliance with a group of young activists,with a penchant for recounting tales that carry hidden warnings,who always carries an heirloom that is said to bring fortune but at a cost}.",Society,checked,checked,"The AARP stands as a formidable titan in the realm of advocacy, wielding unparalleled influence to champion the rights and well-being of Americans aged 50 and above. With its vast membership army surpassing 38 million, it orchestrates powerful campaigns to safeguard healthcare, income security, and the essential dignity of senior life. As a vanguard of change, AARP not only confronts societal challenges head-on but also innovates relentlessly, ensuring that the golden years are truly golden for every member.",,100%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy,Thick Cornrows,Thin Cornrows,Afro,Short Dreads,Medium Dreads,Tied Dreads,Dreads Tail,Mop Tail","White,Gray","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",50%,White,0%,American First,"Hispanic First,African-American First,Roman First,English First",75%,American Last,"Hispanic Last,African-American Last,Roman Last,English Last",75%,75%,0%,Light,,AARP.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/dCYDX2xD6cabomkDMpLdJw/bNYz1HmtV0Bbn7hdo9_MqWPGfW9qYU4INc5PDPfgNea2YFJTyfLqenvLq4pPYipnfbX9JbSlpY6Qyz8pcMJuJlSoYTB7n1KzlcEeqDdVw4xXJ8-AzB8ERRbdWb6io-H__AJSsVIzeChjD9kg2v8dsw/Zx2zE_PPveF-VlM3DpW5o-lYIXnFa9lU_R7dU579yms)
Bikini Bottomers,,,Shows,checked,,"The citizens of Bikini Bottom are a vibrant and eclectic mix of sea creatures, each with their own unique quirks and personalities, living in a colorful underwater city. From the ever-optimistic SpongeBob SquarePants to his grumpy neighbor Squidward Tentacles, the community thrives on a blend of humor, adventure, and the occasional drama. Their lives, filled with extraordinary events ranging from jellyfish hunting to superhero antics, unfold in an aquatic wonderland where the mundane mingles with the magical.",,,,,,,,,,,,,,,,,,,,,Bikini Bottomers.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/hSUj1okkx9IwyhFHAIuJmg/lOC8poiI_HkFaLXFfI6GXOBDWArXLo10XjclBZF5I2SNZRRcLVxTwTeFHVX2fJuOx0FYSd155SL7JDSI9XLptzTiXa7s4UxraO_9VK3-t8V3HurXQw_eltm3XdsP5dK_gOAponmctB7C8rBifs2JTw/YR1R1g7oc_zR0zj17kRLHlDPBzyQmEPqxvUr4qef-KQ)
Braavosi,HighSpritopian,"He is a {cunning,graceful,stealthy,mysterious,deadly,elegant,perceptive,artistic,resourceful,quick-witted,scheming,unpredictable,loyal,disciplined,calculating,adventurous,inscrutable,vengeful,fearless,daring,discreet,observant,sophisticated,deceptive,ambitious,principled,tradition-bound,innovative,protective,unscrupulous} member of the Braavosi,{known for his unmatched skill with the slender blade,who whispers secrets to the Many-Faced God,with a penchant for theatrical disguises,who navigates the foggy canals with silent precision,boasting a vast network of informants across the Free Cities,who has mastered the art of the poisoner's craft,with a flair for dramatic public performances,known for his elaborate and untraceable thefts,who carries the weight of a family vendetta,trained in the art of reading people's deepest fears,who has a mysterious past shrouded in rumors,with a collection of masks each bearing a different persona,known for his blood oath to avenge a fallen comrade,who plays the game of faces with chilling accuracy,with an uncanny ability to blend into any crowd,known for his swift justice delivered from the shadows,who bears the scars of a forbidden duel,with a romantic heart under his cold exterior,known for his silent oath to protect the innocent,who harbors a dark secret that could shake the very foundations of Braavos,with a silver tongue that can sway the most stubborn minds,known for his lavish lifestyle funded by undisclosed means,who walks the line between honor and survival,with a keen eye for the arts, treasuring Braavos' cultural heritage,known for his bitter rivalry with a fellow swordsman,who carries a locket containing a portrait of a lost love,with a reputation for cruel retribution against his enemies,known for his unmatched negotiation skills in the Iron Bank,who has been marked by the Faceless Men for a past transgression,with a hidden sanctuary in the House of Black and White,known for his elaborate espionage against rival factions}.",GOT,checked,checked,"The Braavosi are a proud and enigmatic people, masters of water-dancing and keepers of ancient secrets, hailing from the lagoon city of Braavos, shrouded in mist and mystery. They command the fiercest fleet in the known world, their prowess at sea unmatched as they navigate the narrow channels of their hidden city with skill and grace. Esteemed for their fierce independence and the legendary Iron Bank, the Braavosi are formidable players in the game of thrones, their allegiance as coveted as it is feared.",Sith,60%,"No Hair,Medium Stubble,Dark Stubble,Short Stubble,Dark Recessed Stubble,Balding Stubble,Short Buzz,Buzz,Widow's Peak Buzz,Balding Buzz,Natural Waves,Messy,Twisties,Straight Short,Straight Long,Straight Flat,Straight Part,Wavy,Shaggy,Spikey,Straight Tail,Balding Flat,Medium Flat,Short Flat,Straight Balding","Dark Brown,Medium Brown,Light Brown","Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 9,Beard Style 12,Beard Style 10,Beard Style 11,Beard Style 8","Goatee 1,Goatee 10,Goatee 7,Goatee 8,Goatee 14,Goatee 18,Goatee 9","Moustache 4,Moustache 3,Moustache 2",50%,Black,50%,Westerosi First,,100%,Westerosi Last,,100%,100%,33%,Heavy,checked,Braavosi.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/McQV6w0w-PkG0UUkC_UgRQ/uuWCwQScVSaewuXI6L6N-HsdeqrFwA0UtZZzo-JldvX9p2044K4CsxV2YP-wY-n7rMm69sIWSpZe5gC2Boeat0Ai28J8-wtyzWcz7iG5-Gz4ICze-eXdHIcLFfnbOQvB3E7phhngYoWZEI6vl5yH4Q/A6wOHllkSSqPI2EVZo8sOKoAy2L9CkPzWfj7Bf46dQk)
Chissanos,Nubian,"He is a {devout,wise,mystical,spiritual,compassionate,serene,altruistic,enigmatic,ascetic,pious,visionary,merciful,zealous,prophetic,meditative,philanthropic,esoteric,scholarly,transcendent,inscrutable,penitent,solemn,heretical,deceptive,malicious,scheming,cynical,blasphemous,sacrilegious,corrupt,manipulative,vengeful,desecrating,apostate,dogmatic,iconoclastic} member of the Chissanos,{renowned for his profound interpretations of sacred texts,with an uncanny ability to heal both physical and spiritual ailments,who has undertaken a pilgrimage to all the holy sites,with a deep understanding of ancient rituals,known for his charitable works among the impoverished,who can communicate with celestial beings,whose visions have predicted significant events,with a vow of silence that enhances his mystical presence,who has been accused of heresy for his unconventional beliefs,known for his rigorous fasting and meditation practices,who possesses relics believed to hold divine power,with a secret pact with dark entities for forbidden knowledge,known for performing miracles in times of despair,who leads a double life indulging in forbidden arts,with a reputation for casting powerful curses on his adversaries,who has been excommunicated for challenging sacred doctrines,known for his manipulation of religious texts for personal gain,who has a sanctuary that harbors a malevolent presence,with an obsession for seeking immortality through dark rituals,who has betrayed his brethren for a blasphemous cause,known for his ability to instigate conflicts among faithful communities,with a collection of proscribed artifacts that enhance his dark magic,who secretly venerates an ancient and forbidden deity,with a network of spies disguised as missionaries,who has orchestrated the downfall of rival spiritual leaders,known for his cryptic prophecies that sow discord,with a mysterious charm believed to ward off divine judgement}.",2K Royals,checked,checked,"The Chissanos, a venerable lineage steeped in ancient clerical lore, wield the sacred texts and divine incantations with a formidable grace that belies their serene demeanor. Guardians of hallowed secrets and celestial power, they stand as unyielding sentinels against the encroaching shadows, their very presence a beacon of hope in a world fraught with darkness. In the hush of twilight prayers, their voices rise like a tempest, calling forth the heavens' fury to smite the wicked and protect the innocent with a zeal as fierce as it is righteous.",,100%,"Afro,Thick Cornrows,Thin Cornrows,Short Dreads,Tied Dreads,Medium Dreads,Dreads Tail,No Hair",Black,"Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 9,Beard Style 12,Beard Style 10,Beard Style 11,Beard Style 8","Goatee 1,Goatee 10,Goatee 7,Goatee 8,Goatee 14,Goatee 18,Goatee 9","Moustache 4,Moustache 3,Moustache 2",60%,Black,100%,Biblical First,,100%,Chissano Only,,100%,0%,0%,Light,,Chissanos.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/5PFQTsjvVod6-PVOo4GfCA/rNHAkq4Zai3y2t6u6Q92HoNvIBROTzbW7-K5hcMmvE9Cy6SY1Q6z_MLkAvqNfKHcO5bBxY8B2NE8qv3SVKLZLY7XdLBqb7hZhxTPcz32B8C3RHIEDDGRNQn6m8XfIRUgH7KqotN1Vr9LhIG1CscsUA/lI6C2-HCP3Ke9J3lQKAbwHjxuyYPHrmWmr7Q942bkxQ)
Content Creators,"Atacaman,Nubian,HighSpritopian,Bhutanese,Galactic,Patel","He is a {creative,innovative,engaging,charismatic,persuasive,controversial,insightful,dramatic,meticulous,energetic,visionary,provocative,unpredictable,manipulative,deceptive,scandalous,divisive,ambitious,resourceful,opportunistic,authentic,relatable,dedicated,passionate,secretive,competitive,disruptive,influential,calculating,conniving} Content Creator,{known for his viral video series that sparked a major social movement,with a knack for creating content that challenges societal norms,who faced backlash for a controversial video,whose groundbreaking live streams have set industry standards,with a fiercely loyal fan base that defends him against all criticism,involved in a high-profile feud with another creator,who has been accused of plagiarizing content,with a secret identity that keeps his personal life hidden,who leverages his platform for charitable causes,caught in a scandal that nearly ended his career,who has reinvented himself multiple times to stay relevant,known for his in-depth investigative reports that expose hidden truths,who has been banned from a major platform for violating terms of service,with a talent for creating immersive and interactive virtual experiences,who is rumored to be funded by controversial sponsors,with a mysterious past that fuels speculation and rumors,known for his ability to turn any situation into engaging content,who has faced legal challenges due to his content,with a history of mental health advocacy through his platform,who has been criticized for exploiting sensitive topics for views,known for his masterful storytelling that captivates audiences,who has a secret partnership with a major corporation,with a series of failed projects that he cleverly turned into a comeback story,who has been exposed for faking dramatic events in his videos,with a dedicated following in niche communities for his unique content,who has faced accusations of toxic behavior within his community,known for his elaborate pranks that often blur ethical boundaries,with a penchant for exploring and popularizing obscure internet subcultures,who has leveraged his fame to launch a successful tech startup,known for his dramatic on-camera persona that contrasts with his private demeanor}.",Society,checked,checked,"Content creators are the modern-day magicians, conjuring up viral sensations out of thin air and a sprinkle of internet charm. They ride the ever-changing algorithms like seasoned surfers, dodging digital wipeouts and chasing the next big wave of trends. In their quest for likes, shares, and subscribes, they often find themselves speaking to cameras more fluently than to actual humans, blurring the lines between reality and the perfectly curated chaos of their online personas.",,100%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy,Thick Cornrows,Thin Cornrows,Afro,Short Dreads,Medium Dreads,Tied Dreads,Dreads Tail,Mop Tail","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 1,Goatee 2,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","None,Moustache 1,Moustache 2,Moustache 3,Moustache 4,Moustache 5,Moustache 6,Moustache 7",40%,Black,100%,American First,"Hispanic First,African-American First,Roman First,English First",50%,American Last,"Hispanic Last,African-American Last,Roman Last,English Last",50%,90%,33%,Medium,checked,Content Creators.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/a4HdPT5RTxE-nZZh1dTelA/KwGZXqEXSNBY2DWOdcRpkIbp9-7nQj39rVZPJck6BlEYr4bG8V1kkK_B8Ulc6OJA7NcZYDm3qr754jxaVG_KQszjjfQ2TIfU3PP7e3uDSq4s7EnHbbtYzi0uyf8jhiqtM6U2QSy08Rc8EdwZBJTqRA/Fkyggf1F9beLYttsmh-53vdxA_XbQfnsKwiDl_GEiw8)
Dunder Mifflin Employees,,,Shows,checked,,"Dunder Mifflin's eclectic crew transforms the mundane into the extraordinary, where every day is an unpredictable blend of heartfelt moments and laugh-out-loud antics. From the lovably awkward regional manager with a heart of gold to the prankster salesman with a dry wit, each employee adds their unique flavor to the office's one-of-a-kind family. Amidst paper sales and office politics, they find friendship, romance, and the kind of memorable moments that only a place as quirky as Dunder Mifflin can provide.",,,,,,,,,,,,,,,,,,,,,Dunder Mifflin Employees.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/eJPBucJ7LNbp4JbwF7wZ7A/KwuWtxseprO4aPppxFxNMgOYxT0pZYKA3MbpEJVmb9qPWKK-NsXKnu7Jwsys7JcWnzOsciuVxHPWz36nbri4cO31C-UoMWBte-ABj_kTonxszm1exkVfbf2sZLqkXzloZIVrsX7MK1sTE2dXK-ueijWgtmPfT0OE_UBxipGjPI0/xSU8pQae1Iue3dMTo9cwHvYv-yNg9TWGfNjirUYFHiQ)
Fargoans,,,Shows,checked,,"Fargoans are known for their unyielding resilience and resourcefulness, thriving in the harsh North Dakota winters with a spirit as formidable as the blizzards they weather. With a community ethos rooted in hard work, innovation, and a tight-knit sense of belonging, they navigate the challenges of their environment with a unique blend of grit and grace. Their warm, welcoming nature belies a steely determination, making them as captivating as the stark, beautiful landscapes they call home.",,,,,,,,,,,,,,,,,,,,,Fargoans.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/6A9wKfYzjIGrhbRfKiBGYw/aKAJxCgSAPO8_MeBPDItsaiHm-Tg1mn0sSGnaI44QUBQKoZ2eLU8HE-DdVHbQ6kFp44U9l1Zd9ZYCRQMEe7Cl_nFgOxMdiY6m8WpCdUB7G7V8hC9uszOf2hZjhHSuHH3Nme1OQyWDdNDC3WNvOgrPg/k7Y6udp7O7YTHf9h7apxeOqA6Vpzj6ET7oKjzFot9o4)
Federal Agents,"HighSpritopian,Nubian","He is a {dedicated,sharp-witted,principled,stealthy,authoritative,analytical,resilient,perseverant,sophisticated,innovative,meticulous,ethical,brave,discreet,astute,courageous,intuitive,loyal,calculated,impartial,objective,diplomatic,confident,manipulative,deceptive,double-dealing,corrupt,unscrupulous,cynical,scheming,ruthless,coercive,paranoid,vengeful,merciless,treacherous,ambitious,greedy} member of the Federal Agents,{known for his unrivaled expertise in cybersecurity and digital surveillance,with a history of deep undercover work in dangerous cartels,who has a knack for forensic accounting and uncovering financial crimes,with a commendable record in hostage negotiation and crisis management,known for his involvement in high-profile international extradition cases,who has a strong moral compass, often clashing with agency politics,with an affinity for advanced gadgetry and tech innovations in law enforcement,who has received multiple commendations for bravery in the line of duty,known for his ability to build trust and extract information from informants,with a controversial record of bending the rules to secure convictions,who has a shadowy connection to organized crime, serving as a mole within the agency,with a penchant for excessive force, often leading to internal investigations,known for his questionable interrogation techniques, skirting the edges of legality,with a history of tampering with evidence to close high-stakes cases,who has leaked sensitive information for personal gain, betraying his oath,known for his manipulative tactics, turning witnesses and suspects against each other,with a mysterious past, rumored to have been involved in covert operations with no oversight,who operates with a personal vendetta, often compromising mission integrity,known for his double life, maintaining an elaborate cover even off-duty,with deep-seated biases that taint his judgment and operational effectiveness,who has been implicated in a scandal involving the misuse of federal resources,with a knack for political maneuvering, often prioritizing career advancement over justice,known for his ruthless pursuit of targets, disregarding collateral damage and ethical concerns,with a history of unexplained asset accumulation, raising questions about corruption}.",Society,checked,checked,"Federal agents, cloaked in the aura of mystery and authority, navigate the shadows of society's underbelly, wielding unmatched expertise in pursuit of justice and national security. They stride through chaos with unwavering resolve, their badges not just symbols of power but beacons of hope in the darkest corners. Masters of strategy and subterfuge, they stand as the unseen guardians, their every move a calculated dance between danger and duty.","Suit,Sith",10%,"No Hair,Short Stubble,Medium Stubble,Buzz,Dark Stubble,Balding Buzz,Natural Waves,Natural Patches,Natural Part,Twisties,Straight Short,Straight Long,Messy,Straight Part,Straight Flat,Straight Tail,Spikey,Balding Flat,Curly,Mop,Mohawk,The Patch,Medium Flat,Shaggy,Short Flat,Straight Balding,Balding Stubble,Short Buzz,Widow's Peak Buzz,Natural Balding,Natural Fauxhawk,Dark Recessed Stubble,Wavy","Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde","None,Beard Style 1,Beard Style 2,Beard Style 3,Beard Style 4,Beard Style 5,Beard Style 6,Beard Style 7,Beard Style 8,Beard Style 9,Beard Style 10,Beard Style 11,Beard Style 12,Beard Style 13","None,Goatee 2,Goatee 1,Goatee 3,Goatee 4,Goatee 5,Goatee 6,Goatee 7,Goatee 8,Goatee 9,Goatee 10,Goatee 11,Goatee 12,Goatee 13,Goatee 14,Goatee 15,Goatee 16,Goatee 17,Goatee 18,Goatee 19,Goatee 20","Moustache 7,Moustache 2,Moustache 3,None,Moustache 4,Moustache 1,Moustache 5,Moustache 6",50%,"Black,Dark Brown,Medium Brown,Light Brown,Very Light Brown,Dark Blonde,Medium Blonde,Light Blonde,Very Light Blonde",95%,American First,African-American First,80%,American Last,African-American Last,80%,100%,15%,Medium,checked,Federal Agents.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/IgmEJ6WEEVhDpW5hSEMmeA/EL5hR8-xUmEAeEtH1gol9Wyox23Ryzl4XlX0lBgCnJw3xPab7Map0E8q2H-yNoKCUAo4J4BxHx2sBpUY5TgkJQHI5BR_iZ_MSXVEB6vcsK1T0lhU9kJ3KBh0srF31MCrJJ4OIjZxgdclq-TlKfHtNg/sd3guZUjvGm2NHnaZOHnYq8pwsT79nZucX9NFeAT8pE)
Fleabaggers,,,Shows,checked,,"Those in Fleabag partake in a masterclass of turning the messiness of life into art, with its titular character navigating London's chaos with a sharp wit and a broken fourth wall. It's a tragicomedy that packs a punch, blending laugh-out-loud humor with gut-wrenching revelations, often in the span of a single glance to the camera. At its heart, Fleabag serves up an unfiltered slice of life, garnished with irreverence and poignant honesty, making you laugh until you realize you're actually crying.",,,,,,,,,,,,,,,,,,,,,Fleabaggers.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/DgnwNvJtwAgoP7HDG7fjiQ/lJocIX35pELjZcXO58VdpRgJkYejeKhpUNaTG0d5r_7xX11Q8R2TQrSbS5KwVyN9k2yssd68xWlHfHhJTozHKy2PM3DYGFuDGpC9Bkhjh1Z89LBUeZh2zy0FeJzw8Qdxx231m91S_6LHUuPT4FOu0Q/6nubt31IY-AVCqC2C9v3N1_XAxLnPJFaat7sJ8xsxMM)
Historical Figures,,,Society,checked,,"Historical figures are the architects of our past, whose deeds and words have been etched into the fabric of time, shaping the contours of history with their bold strokes and subtle whispers. They are the stars in the vast night sky of our collective memory, some burning brightly with the light of inspiration, others cloaked in the shadows of infamy, each contributing to the constellation of human experience. These temporal travelers, whether cloaked in the robes of royalty, the armor of warriors, the garb of thinkers, or the rags of revolutionaries, have left footprints on the sands of time, guiding or warning us as we navigate the tides of the present toward the shores of the future.",,,,,,,,,,,,,,,,,,,,,Historical Figures.png (https://v5.airtableusercontent.com/v3/u/25/25/1707876000000/YbLPdFqns_BLleOGj9BnZQ/GQb_vTSqODoSIeXa0Z8rmHQbHNo4cJ_8z87J6Qi2eL_MWKQvsOl3S4iDAHVu6oIG5qnMzh-wzy6q0C14KHsRtmVBjpQdEAk-OjVkv2XnqHGB5bIDksdR-6tqp3ntttS_BKIYRFYa9LI_qWoMAgoYVjrvZARZ8bnX4YoVk4ndzno/8Y0g9_rG4z_dnxgj8AEByqk7p8QlQCzDF0MxRmzl3f0)
