Name,ID,Picture,Factions
None,0,None.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/e3OGoZvJF7Jm7_EHd_uvYQ/xfUarlQGw_97kmFegVyT84WMSNyQRT8lpQ0AH-RR7CCEKpDSMtqL0dqq9XPTtZYiTxrwuX8eYaSmm6O205pHBw/lfgxpQItAk-TXN51rCVVXzmU4NPcfW8TuCXdwRgrCLE),"Jalapeno Bots,Pickles,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Sandwich Artists,ICOMM Employees,Yesters,Jedi,Rebel Alliance,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Goatee 1,1,1.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/ChSKc0hGzG9mW01NooRdsA/hu87WqC-c49fDUgtNrQsdShK-DJPdLWVzGu7ah7RSy0WxsphP9lPx1KV_jF3WbYHTqWMpcpmVCgsyBuOHx9Yug/eSeTTm_sken1JGvPInYqjLu224t9F5swm0IW2_8W7x8),"Nocturnals,Pickles,Sanchevastes,Others,Saul Goodman's Clientele,AT&T Representatives,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Stark,House Greyjoy,House Frey,House Baratheon,House Mormont,Jedi,Rebel Alliance,Targothiites,Hogwarts Professors,Osmans,Bolivian Mobsters,Salamancas,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,MAGAs,Incels,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Paladins,Dothraki,White Walkers,Wildlings"
Goatee 2,2,2.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/W5Gqe7Tl7xXWX6s0Xyx6_Q/BHhwdtug2g-NDU7C4DPa9I8CY1KRB-ILNuDMUSNsijPBpv4LXchDDgN_MjoGkreQ23PDKy3NaYSpSNer-iXlPA/6e9RpyVF1_oh6C3QpbcEaX2RmhgB_QX9n9v68FdyrR0),"Pickles,Sludgeservants,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,Jedi,Rebel Alliance,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Incels,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Goatee 3,3,3.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/VcyILfvfbZXZPqDxOZRaqw/rBAjaTalppGVUc00stVJUjaoccQAPM4HFp4l9rbEGzaJoMPXBDskyOBQxnrsXdQtC3H-8EHQrwNjby_otc-7og/Fg6O8Z0fV7Qw1GHQ3hY52Y1_Vp5ACg6hQKUhFcasO6Y),"Nocturnals,Pickles,Others,Saul Goodman's Clientele,AT&T Representatives,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Frey,Jedi,Rebel Alliance,Targothiites,Osmans,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Incels,Communists,Druids,Warlocks,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Goatee 4,4,4.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/N3ccHbejShyVIV8ik91yLg/uG8bWXOn7FZ0r2aQ44kCaKAznimfY_sUN7p7CEYHCb71NjiVd7C0aji1-PHfqMM8-qyZOWItMd-OGcIVDPS6kg/IBgcOxITHru9avl0-sHTbhDE77WGIjYi0hKjvUSj37A),"Nocturnals,Pickles,The Fatherhood,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,Jedi,Rebel Alliance,Targothiites,Osmans,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dark Brotherhood,Dothraki"
Goatee 5,5,5.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/1PDWbrlf-WU0Sipx24cQIw/Blz_ZAmzLjKWSpShByGINlq28xjTsB9c3gejJxTUUh1d-HWOOUW7BpodCwMJUo6mr44Df-ZqRSs_rrF36S_21A/k4KkIb04WcxBoyIgsLCKV4-doGuuKELzR-5iJ9p-EcU),"Nocturnals,Pickles,The Fatherhood,Others,Saul Goodman's Clientele,House Lannister,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Bolton,Sith,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Imperials,Mages,Necromancers,Dothraki"
Goatee 6,6,6.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/6S9mr7FbaWhE10ZYOilGDw/2uPJD3H9v8XSwYfw0IKSa5mQPil656u4aj_PiemsBO8LBhs6b-G9cMvDvkbLanvjcAVGV_dA3cjYCT9arjCPPA/mbcowJnXPPtg4qGcXsnsFeJv4J3RpjVWbaUpEar1xgE),"Nocturnals,Pickles,Sanchevastes,The Fatherhood,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Frey,Jedi,Rebel Alliance,Targothiites,Hogwarts Professors,Bolivian Mobsters,Salamancas,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,MAGAs,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Dothraki"
Goatee 7,7,7.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/l0XZXhXegbwPPEr4v6fvKg/v_xA_6V72qHo0ym47zUqGcvx9R2AOFjNNcKM9qUGD-IL8F1BRdKHKXfoTfTqHzRJzVzMqnjL6pz6QeRcwerRNg/PozSrd_Hfupn-gIdaebXbJer9OmPsVstFFe4KRI7xL0),"Pickles,Others,Saul Goodman's Clientele,House Lannister,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Stark,House Greyjoy,House Bolton,House Baratheon,House Mormont,Sith,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Targothiites,Hogwarts Professors,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Imperials,Mages,Necromancers,Paladins,Dark Brotherhood,Dothraki,White Walkers,Wildlings"
Goatee 8,8,8.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/VorMrtWPqSVD3CwcWK2D-A/uc-1hkNFh4a8z4W2No9CmAvLDL_OnzpNLtJzUVm5hqmLj_07ojOYU_bMdJnl4y93CNFEFYdPFU-yS0IF3Yt5RQ/K7aALNLuDybL9E9EqHdfP0EpMfeIpLusIsyLAX_NXCI),"Naras,Pickles,Others,Saul Goodman's Clientele,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Targaryen,House Stark,House Greyjoy,House Baratheon,House Mormont,Sith,Jedi,Rebel Alliance,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Chechen Mobsters,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Mages,Necromancers,Paladins,Dothraki"
Goatee 9,9,9.PNG (https://v5.airtableusercontent.com/v1/18/18/1689026400000/mhggl-g79e93upGMxOf-fA/IWNVDYYoIy18Ix9yDtqh9-ovyyjYJ9lpvtCjfN3BY05BRQG9NwbGnGYbl9DXaOo367U78A4WowE6NqW2aNzSCA/2pZ6cw-GvnDUNlxigVcl66rAASHyMjUciSTxzAd9iYk),"Pickles,Others,Saul Goodman's Clientele,House Lannister,zAll,Sysco Employees,Subway Managers,Subway Customers,SLB Employees,Yesters,House Stark,House Greyjoy,House Bolton,House Baratheon,House Mormont,Jedi,Rebel Alliance,The Empire,Bounty Hunters,Targothiites,Social Justice Warriors,Enlightened Centrists,DEA,Capitalists,Gerhardts,Communists,Thieves Guild,Vought Supes,Imperials,Mages,Necromancers,Paladins,Dothraki,Wildlings"
